Metal,Halide,Ligand,Type,
Pb++,I,NCCCC,100,
Pb++,Br,NCCCC,100,
Pb++,I,NCCCCC,100,
Pb++,I,NCCCCCC,100,
Pb++,I,NCCCCCCC,100,
Pb++,I,NCCCCCCCC,100,
Pb++,I,NCCCCCCCCC,100,
Pb++,I,NCCCCCCCCCC,100,
Pb++,I,NCCCCCCN,100,
Pb++,Br,NCCCCCCN,100,
Pb++,I,NCCCCCCCCN,100,
Pb++,I,NCCCCCCCCCCCCN,100,
Pb++,I,NCCCCN,100,
Pb++,Br,NCCCCN,100,
Pb++,Br,NCCCCCCCCCCN,100,
Pb++,I,NC1=CC=CC2=C(N)C=CC=C12,100,
Pb++,I,NCCCCCCCCCN,100,
Pb++,Br,NCCCC,100,
Pb++,Br,NCCCNC,100,
Pb++,Cl,NCCOCCOCCN,100,
Pb++,Br,NCCOCCOCCN,110,
Pb++,I,NCCOCCOCCN,110,
Pb++,Br,NCCSC(N)=N,100,
Pb++,Br,NCCC#C,100,
Pb++,Br,NCCC(I)=CI,100,
Pb++,Br,,100,
Pb++,Cl,NCCF,100,
Pb++,Br,CC(C)CN,100,
Pb++,I,NCCO,100,
Pb++,I,NCCCO,100,
Pb++,I,NCCI,100,
Pb++,I,NCCCI,100,
Pb++,I,NCCCCI,100,
Pb++,I,NCCCCCI,100,
Pb++,I,NCCCCCCI,100,
Pb++,I,NCCBr,100,
Pb++,I,NCCSSCCN,100,
Pb++,I,NC1CC1,100,
Pb++,Br,NC1CC1,100,
Pb++,Br,NC1CCC1,100,
Pb++,Br,NC1CCCC1,100,
Pb++,Br,NC1CCCCC1,100,
Pb++,Cl,NC1CC1,100,
Pb++,Cl,NC1CCC1,100,
Pb++,Cl,NC1CCCC1,100,
Pb++,Cl,NC1CCCCC1,100,
Pb++,Br,NCC1CCCCC1,100,
Pb++,Cl,C1CNCCN1,110,
Pb++,I,NCC1CCCNC1,100,
Pb++,I,NCC1CCNCC1,100,
Pb++,I,c1cc(ccn1)-c2ccncc2,100,
Pb++,Cl,NCc1ccccc1,100,
Pb++,Br,NCc1ccccc1,100,
Pb++,I,NCc1ccccc1,100,
Pb++,I,NCCc1cccs1,100,
Pb++,I,C1=C(NC=N1)CCN,100,
Pb++,I,NCc1cccs1,100,
Pb++,Br,NCC1CCCCN1,100,
Pb++,Cl,CN(C)C1=CC=C(C=C1)N,100,
Pb++,Cl,Nc1cccc(N)c1,100,
Pb++,Br,CN(C)C1=CC=C(C=C1)N,100,
Pb++,Br,NCCc1cccs1,100,
Pb++,Br,NCc1ccc2ccccc2c1,100,
Pb++,I,NCCc1ccc2ccccc2c1,100,
Pb++,Br,NCCc1ccc2ccccc2c1,100,
Pb++,I,NCCOc1ccc2ccc3cccc4ccc1c2c34,100,
Pb++,I,NCCCOc1ccc2ccc3cccc4ccc1c2c34,100,
Pb++,I,NCCCCOc1ccc2ccc3cccc4ccc1c2c34,100,
Pb++,I,NCCOc1ccc5cccc4c5c1c2cccc3cccc4c23,100,
Pb++,I,NCCSc1sc(cc1)c2sccc2,100,
Pb++,I,NCc1ccc(F)cc1,100,
Pb++,Br,NCCCn1ccnc1,110,
Pb++,I,NCc1ccc(Cl)cc1,100,
Pb++,Br,NCCc1ccccc1,100,
Pb++,I,NCCc1c(F)cccc1,100,
Pb++,I,NCCc1cc(F)ccc1,100,
Pb++,I,NCc1ccc(Br)cc1,100,
Pb++,I,NCc1ccc(I)cc1,100,
Pb++,I,NC(N)=N,100,
Pb++,Br,NC(N)=N,110,
Pb++,I,CNN,100,
Pb++,I,CCCCC(CC)CN,100,
Pb++,I,CCCCCC(C)[NH3+],100,
Pb++,I,CCCC(C)[NH3+],100,
Pb++,I,CCC(C)[NH3+],100,
Pb++,I,C1=CN=C(N1)C2=NC=CN2,100,
Pb++,I,NCCO,100,
Pb++,Br,NCCO,100,
Pb++,I,C1=CC=C2C(=C1)NC=N2,100,
Pb++,I,C1=CC(=CN=C1)CN,100,
Pb++,Br,C1=CC(=CN=C1)CN,100,
Pb++,Cl,C1=CC(=CN=C1)CN,100,
Pb++,Br,CN(C)CCN,100,
Pb++,Br,CNCCCNC,100,
Pb++,Br,CCC(CN)N(C)C,100,
Pb++,I,CN(C)C1=CC=C(C=C1)N,100,
Pb++,Br,NCCCCCCCCCN,100,
Pb++,Br,NCCCC(O)=O,100,
Pb++,Br,NCCc1c[nH]cn1,100,
Pb++,Br,NCCc1cccc(N)c1,100,
Pb++,Br,NCCC1=CCCCC1,100,
Pb++,I,NCCc1ccccc1,100,
Pb++,Br,NCCF,100,
Pb++,Br,NCC(F)F,100,
Pb++,Br,NCC(F)(F)F,100,
Pb++,Br,NCC1CCNCC1,100,
Pb++,Br,NCCCCN,100,
Pb++,I,Cc1ccc(CCN)cc1,100,
Pb++,I,NCCc1ccc(Br)cc1,100,
Pb++,I,NCCc1ccc(Cl)cc1,100,
Pb++,I,NCCN1CC=CC=C1,100,
Pb++,I,NC1CCC(F)(F)CC1,100,
Pb++,I,NCCCCc1cc2cccc3ccc4cccc1c4c23,100,
Pb++,Br,NCCSSCCN,100,
Pb++,Br,C1CNCCN1,100,
Pb++,Cl,NCCc1ccccc1,100,
Pb++,Cl,NCCC,100,
Pb++,I,NCCCCCCI,100,
Pb++,I,NCCC1=CCCCC1,100,
Pb++,I,CC(N)c1ccc(Cl)cc1,100,
Pb++,Br,Nc1cccnc1,100,
Pb++,I,NCCN1CC=CC=C1,100,
Pb++,I,NCCn1ccnc1,100,
Pb++,I,CC(C)CN,100,
