,Rxn_Name,index,SMILES,MW,IE,AMW,frac_sp3,heavy_atom,NH_OH,aromatic_heter,aromatic_ring,h_accept,h_donot,num_heteroatom,num_rotable,num_aliphatic,aliphatic_heter,aromatic_C,aliphatic_C,saturated_C,saturated_heter,saturated_ring,asphere,MaxPartialCharge,MinPartialCharge,numvalence,numradical,RadiusOfGyration,spherocity,Halide,Halide Ionic Radius,Halide Ionization Energy (eV),Halide Electron Affinity (eV),Halide Pearson Hardness (eV),Halide Mulliken Electronegativity (eV),Halide Pauling Electronegativity (Neutral Atom),Number of Electrons,Atomic Mass,Charge,index,Ion,Form 2D Perovskites?,Metal Ionization Energy (kJ/mol),Metal Electron Affinity (kJ/mol),Metal Pearson Hardness (eV),Metal Mulliken Electronegativity (eV; ionic),Metal Pauling Electronegativity (atomic),No.Electrons,Valence d electron count,Ionic Radius
0,Mn++ + Cl + CSCCN,19,CSCCN,0,0,0,1,5,2,0,0,2,1,2,2,0,0,0,0,0,0,0,0,0.00530488,-0.3296519,32,0,0,0,Cl,1.67,8.32,1.08,9.011586029,3.62,3.16,18,35.45,-1,19,Mn++,1,3248,1509,9.011586029,24.6510148,1.55,23,5,0.97
1,Mn++ + Cl + CSCCCN,19,CSCCCN,0,0,0,1,6,2,0,0,2,1,2,3,0,0,0,0,0,0,0,0,-0.005831005,-0.33044315,38,0,0,0,Cl,1.67,8.32,1.08,9.011586029,3.62,3.16,18,35.45,-1,19,Mn++,1,3248,1509,9.011586029,24.6510148,1.55,23,5,0.97
2,Mn++ + Cl + C1CSCCN1,19,C1CSCCN1,0,0,0,1,6,1,0,0,2,1,2,0,1,1,0,0,0,1,1,0,0.005853694,-0.315091403,36,0,0,0,Cl,1.67,8.32,1.08,9.011586029,3.62,3.16,18,35.45,-1,19,Mn++,1,3248,1509,9.011586029,24.6510148,1.55,23,5,0.97
3,Mn++ + Cl + NCC1CCSCC1,19,NCC1CCSCC1,144,8,8,1,8,2,0,0,2,1,2,1,1,1,0,0,0,1,1,0,-0.004827326,-0.330196361,48,0,0,0,Cl,1.67,8.32,1.08,9.011586029,3.62,3.16,18,35.45,-1,19,Mn++,1,3248,1509,9.011586029,24.6510148,1.55,23,5,0.97
4,Mn++ + Cl + COCCN,19,COCCN,0,0,0,1,5,2,0,0,2,1,2,2,0,0,0,0,0,0,0,0,0.058444137,-0.383378494,32,0,0,0,Cl,1.67,8.32,1.08,9.011586029,3.62,3.16,18,35.45,-1,19,Mn++,1,3248,1509,9.011586029,24.6510148,1.55,23,5,0.97
5,Mn++ + Cl + COCCCN,19,COCCCN,145,8,7,1,6,2,0,0,2,1,2,3,0,0,0,0,0,0,0,0,0.047378687,-0.384639875,38,0,0,0,Cl,1.67,8.32,1.08,9.011586029,3.62,3.16,18,35.45,-1,19,Mn++,1,3248,1509,9.011586029,24.6510148,1.55,23,5,0.97
6,Mn++ + Cl + C1COCCN1,19,C1COCCN1,0,0,0,1,6,1,0,0,2,1,2,0,1,1,0,0,0,1,1,0,0.059108072,-0.378812514,36,0,0,0,Cl,1.67,8.32,1.08,9.011586029,3.62,3.16,18,35.45,-1,19,Mn++,1,3248,1509,9.011586029,24.6510148,1.55,23,5,0.97
7,Mn++ + Cl + NCC1CCOCC1,19,NCC1CCOCC1,0,0,0,1,8,2,0,0,2,1,2,1,1,1,0,0,0,1,1,0,0.046866866,-0.381428973,48,0,0,0,Cl,1.67,8.32,1.08,9.011586029,3.62,3.16,18,35.45,-1,19,Mn++,1,3248,1509,9.011586029,24.6510148,1.55,23,5,0.97
8,Mn++ + Cl + NCCC1CCOCC1,19,NCCC1CCOCC1,0,0,0,1,9,2,0,0,2,1,2,2,1,1,0,0,0,1,1,0,0.046820152,-0.381430693,54,0,0,0,Cl,1.67,8.32,1.08,9.011586029,3.62,3.16,18,35.45,-1,19,Mn++,1,3248,1509,9.011586029,24.6510148,1.55,23,5,0.97
9,Mn++ + Cl + NCCS,19,NCCS,0,0,0,1,4,2,0,0,2,2,2,1,0,0,0,0,0,0,0,0,0.002549065,-0.329661156,26,0,0,0,Cl,1.67,8.32,1.08,9.011586029,3.62,3.16,18,35.45,-1,19,Mn++,1,3248,1509,9.011586029,24.6510148,1.55,23,5,0.97
10,Mn++ + Cl + NCCO,19,NCCO,148,8,7,1,4,3,0,0,2,2,2,1,0,0,0,0,0,0,0,0,0.055324581,-0.395062739,26,0,0,0,Cl,1.67,8.32,1.08,9.011586029,3.62,3.16,18,35.45,-1,19,Mn++,1,3248,1509,9.011586029,24.6510148,1.55,23,5,0.97
11,Mn++ + Cl + NCCCO,19,NCCCO,148,8,7,1,5,3,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0.044255012,-0.396326245,32,0,0,0,Cl,1.67,8.32,1.08,9.011586029,3.62,3.16,18,35.45,-1,19,Mn++,1,3248,1509,9.011586029,24.6510148,1.55,23,5,0.97
12,Mn++ + Cl + NCc1ccc(O)cc1,19,NCc1ccc(O)cc1,0,0,0,0.142857143,9,3,0,1,2,2,2,1,0,0,1,0,0,0,0,0,0.115096489,-0.507966632,48,0,0,0,Cl,1.67,8.32,1.08,9.011586029,3.62,3.16,18,35.45,-1,19,Mn++,1,3248,1509,9.011586029,24.6510148,1.55,23,5,0.97
13,Mn++ + Cl + NCCc1ccc(O)cc1,19,NCCc1ccc(O)cc1,0,0,0,0.25,10,3,0,1,2,2,2,2,0,0,1,0,0,0,0,0,0.115094853,-0.507966645,54,0,0,0,Cl,1.67,8.32,1.08,9.011586029,3.62,3.16,18,35.45,-1,19,Mn++,1,3248,1509,9.011586029,24.6510148,1.55,23,5,0.97
14,Mn++ + Cl + NCC(N)=O,19,NCC(N)=O,107,8,7,0.5,5,4,0,0,2,2,3,1,0,0,0,0,0,0,0,0,0.230657452,-0.368575138,30,0,0,0,Cl,1.67,8.32,1.08,9.011586029,3.62,3.16,18,35.45,-1,19,Mn++,1,3248,1509,9.011586029,24.6510148,1.55,23,5,0.97
15,Mn++ + Cl + NCCC(N)=O,19,NCCC(N)=O,107,8,7,0.666666667,6,4,0,0,2,2,3,2,0,0,0,0,0,0,0,0,0.218186001,-0.369637772,36,0,0,0,Cl,1.67,8.32,1.08,9.011586029,3.62,3.16,18,35.45,-1,19,Mn++,1,3248,1509,9.011586029,24.6510148,1.55,23,5,0.97
16,Mn++ + Cl + CC(=O)CN,19,CC(=O)CN,137,8,8,0.666666667,5,2,0,0,2,1,2,1,0,0,0,0,0,0,0,0,0.142830123,-0.324072609,30,0,0,0,Cl,1.67,8.32,1.08,9.011586029,3.62,3.16,18,35.45,-1,19,Mn++,1,3248,1509,9.011586029,24.6510148,1.55,23,5,0.97
